,created_at,sentiment_score_x,sentiment_score_y
0,2018-01-01,0.13662790164343308,0.2420886957501679
1,2018-01-02,0.12091532029996768,0.22064073773649395
2,2018-01-03,0.07768133013352432,0.14285490613638763
3,2018-01-04,0.03680128729985804,0.07269062300100568
4,2018-01-05,0.08476851789318221,0.16852902962795172
5,2018-01-06,0.08952910289087859,0.16403448646102756
6,2018-01-07,0.10710044212192893,0.19612768463578234
7,2018-01-08,0.07533129730278224,0.12319548151111971
8,2018-01-09,0.08510545142594705,0.17531029871976644
9,2018-01-10,0.07677468952142866,0.17035501633663644
10,2018-01-11,0.0815542781537583,0.15949062160198943
11,2018-01-12,0.0852051103729804,0.16543328672884747
12,2018-01-13,0.1018730763053654,0.20252402487441967
13,2018-01-14,0.09673588723238584,0.19847535483886058
14,2018-01-15,0.11561788621691642,0.2257022115271494
15,2018-01-16,0.05697097273575331,0.10254775092435595
16,2018-01-17,0.07431309549690379,0.14172359121445088
17,2018-01-18,0.08178136189308234,0.15470027167429432
18,2018-01-19,0.07591002049780059,0.1504902304175375
19,2018-01-20,0.06926405264617069,0.1396922070174871
20,2018-01-21,0.08212273474102333,0.15399006504681723
21,2018-01-22,0.0707211242003219,0.13725212398993109
22,2018-01-23,0.044793145940534,0.09777711369526015
23,2018-01-24,0.05106364542388567,0.11584558755036142
24,2018-01-25,0.07109247699063635,0.16493753056274604
25,2018-01-26,0.0696354140152278,0.14550078301646593
26,2018-01-27,0.07305215927415105,0.12016634996659506
27,2018-01-28,0.08709801755452372,0.16516124075077968
28,2018-01-29,0.09208315659026668,0.17944691421345174
29,2018-01-30,0.07735744503974991,0.16736937966637214
30,2018-01-31,0.08074408050338534,0.18898416538265353
31,2018-02-01,0.08716676446676111,0.18391446508454298
32,2018-02-02,0.07848733152453446,0.16234501133269813
33,2018-02-03,0.05043889204550368,0.11140257817126048
34,2018-02-04,0.053191675767482224,0.15499815859938781
35,2018-02-05,0.04725271898414309,0.1025855639264033
36,2018-02-06,0.11125396592307374,0.17555532882058916
37,2018-02-07,0.08269117168674024,0.14027134253351453
38,2018-02-08,0.07032414955908993,0.13552899187767603
39,2018-02-09,0.07657490971638102,0.15538251743546252
40,2018-02-10,0.10853666133701036,0.2158654425001589
41,2018-02-11,0.09887956262647198,0.18771019091596652
42,2018-02-12,0.08220674465425547,0.15708439534576943
43,2018-02-13,0.08984264542285268,0.16926679130118782
44,2018-02-14,0.0777044651964847,0.1616925488769676
45,2018-02-15,0.06441732635909739,0.1442965831854059
46,2018-02-16,0.07515751463302532,0.17296703280527256
47,2018-02-17,0.11688607190589405,0.24935695339924063
48,2018-02-18,0.0887640711823457,0.19747156777299305
49,2018-02-19,0.07704475835746487,0.16776172803016332
50,2018-02-20,0.05833591390033011,0.13923654412192735
51,2018-02-21,0.0410093396452481,0.10603818617756836
52,2018-02-22,0.07114576645429269,0.1498029385302537
53,2018-02-23,0.08187425200951402,0.1928930422857892
54,2018-02-24,0.13340065418455907,0.25567893557487936
55,2018-02-25,0.10596132484051675,0.21496252375432703
56,2018-02-26,0.1381839460545042,0.2622154650639861
57,2018-02-27,0.1312342526633295,0.23113380376766093
58,2018-02-28,0.13164978074302738,0.25573619885808907
59,2018-03-01,0.10075765558055438,0.19878752353117837
60,2018-03-02,0.09625188170752931,0.19960431206561408
61,2018-03-03,0.08475302511319198,0.15982563477056483
62,2018-03-04,0.08422087620709331,0.17923305928850589
63,2018-03-05,0.07483029021820872,0.1433932059488274
64,2018-03-06,0.10731892068408883,0.1912555066939907
65,2018-03-07,0.11008254730001955,0.19152573270084702
66,2018-03-08,0.1135835394388259,0.19261915439243543
67,2018-03-09,0.07426410642102607,0.13529596965592336
68,2018-03-10,0.0696316131904072,0.12457323639319613
69,2018-03-11,0.08446923250626164,0.13690868549074858
70,2018-03-12,0.05259824324264689,0.10852166278224272
71,2018-03-13,0.06486327734329826,0.1475474931952565
72,2018-03-14,0.06835813989612818,0.14181267271806172
73,2018-03-15,0.08110037389413989,0.16811972514034887
74,2018-03-16,0.07088419663836587,0.13239656012001572
75,2018-03-17,0.07790788915153322,0.1574749277942565
76,2018-03-18,0.09359604600414494,0.17625118434753137
77,2018-03-19,0.06146822866987506,0.11933813616836939
78,2018-03-20,0.062394008304196634,0.1199489480165098
79,2018-03-21,0.07081163032165814,0.16929632016480686
80,2018-03-22,0.101607033142445,0.19093633925673778
81,2018-03-23,0.044910835419144764,0.14197427980700641
82,2018-03-24,0.024564515938033358,0.07145559461004204
83,2018-03-25,0.04816959536018765,0.10923382086294861
84,2018-03-26,0.07435125201260666,0.15921289043537237
85,2018-03-27,0.044474012387971586,0.1037412373845682
86,2018-03-28,0.029820898047961848,0.07561569467882154
87,2018-03-29,0.012524608461592352,0.024896286513040027
88,2018-03-30,0.04108957439038585,0.0833997767959478
89,2018-03-31,0.006213348285255556,0.015282588388473043
90,2018-04-01,0.02815292414303553,0.058225065023607574
91,2018-04-02,0.012096581378069536,0.02396331737982648
92,2018-04-03,0.052847131313979966,0.11909005357384343
93,2018-04-04,0.0831731327702006,0.15951862031299666
94,2018-04-05,0.06264145351719835,0.11989715258665397
95,2018-04-06,0.06388196930425835,0.12557899009318266
96,2018-04-07,0.09439269086212516,0.17371072810895571
97,2018-04-08,0.1134037126442702,0.21712281071010409
98,2018-04-09,0.0930328257978924,0.19591765325534716
99,2018-04-10,0.06842482876412251,0.14678796813280265
100,2018-04-11,0.04889415901309118,0.09278671667398279
101,2018-04-12,0.024386131293812535,0.0536566192941343
